com.samsung.shealth.activity.day_summary,6100041,2
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,target,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,50340000,2019-12-10 23:00:00.588,119.56902,28000,111,27347,1576022400000,,yFuc3cHWzI,55347,0,com.sec.android.app.shealth,2019-12-11 14:53:20.792,37338,4d550700-53f6-4c34-a04d-6f96213d321d,4d550700-53f6-4c34-a04d-6f96213d321d.extra_data.json,7.8619566,
0,60,28920000,2019-12-01 23:00:01.024,7699.128,239228,9130,4784544,1575244800000,,yFuc3cHWzI,5023772,136,com.sec.android.app.shealth,2019-12-02 19:10:50.105,1648740,3f524f49-8921-4537-a0ad-0d186a29a374,3f524f49-8921-4537-a0ad-0d186a29a374.extra_data.json,367.14618,
0,60,32400000,2019-12-06 23:00:00.860,2085.4424,90000,2373,1375871,1575676800000,,yFuc3cHWzI,1465871,38,com.sec.android.app.shealth,2019-12-07 18:47:21.083,120000,68701121-05d6-4037-8856-590647b6909b,68701121-05d6-4037-8856-590647b6909b.extra_data.json,104.27643,
0,60,36180000,2019-12-17 23:00:00.453,71.65137,3200,78,46690,1576627200000,,yFuc3cHWzI,49890,0,com.sec.android.app.shealth,2019-12-18 15:56:48.022,12673,43709801-be44-464c-a31d-a040356f43ae,43709801-be44-464c-a31d-a040356f43ae.extra_data.json,3.945984,
0,60,32460000,2019-12-16 23:00:02.345,7764.542,29428,9689,5403073,1576540800000,,yFuc3cHWzI,5432501,150,com.sec.android.app.shealth,2019-12-17 21:42:03.160,1830644,93bf888b-4802-4648-ba4e-7f3ca39d17fe,93bf888b-4802-4648-ba4e-7f3ca39d17fe.extra_data.json,354.59232,
0,60,36720000,2019-12-07 23:00:00.618,1870.9512,41200,2312,1301684,1575763200000,,yFuc3cHWzI,1342884,35,com.sec.android.app.shealth,2019-12-08 20:14:13.076,360000,ceec0283-1f6f-49a4-a809-75b17a681acd,ceec0283-1f6f-49a4-a809-75b17a681acd.extra_data.json,87.11792,
0,-1,-1,2019-11-20 14:01:33.444,0.0,0,0,0,1572134400000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:33.444,0,9274f7bf-1862-41be-b0c5-50252458e2dc,9274f7bf-1862-41be-b0c5-50252458e2dc.extra_data.json,0.0,
0,60,33480000,2019-12-12 23:00:04.484,6100.1025,183281,7260,3922248,1576195200000,,yFuc3cHWzI,4105529,113,com.sec.android.app.shealth,2019-12-13 20:46:56.086,1531084,d33e196f-8fb8-4aaa-b84b-ac5c628f3c1c,d33e196f-8fb8-4aaa-b84b-ac5c628f3c1c.extra_data.json,290.64597,
0,60,54240000,2019-12-22 23:00:02.358,2469.798,97514,2891,1525601,1577059200000,,yFuc3cHWzI,1623115,43,com.sec.android.app.shealth,2019-12-23 22:55:42.082,420000,5260e933-c23a-46e9-ae7d-6a58e1388495,5260e933-c23a-46e9-ae7d-6a58e1388495.extra_data.json,119.786545,
0,60,66840000,2019-12-18 23:00:01.497,122.55469,2800,135,85376,1576713600000,,yFuc3cHWzI,88176,1,com.sec.android.app.shealth,2019-12-19 19:26:44.270,32016,0fdcf65e-32f3-4187-921f-e0aa44398aed,0fdcf65e-32f3-4187-921f-e0aa44398aed.extra_data.json,6.0076904,
