com.samsung.shealth.step_daily_trend,6100041,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2019-12-05 07:49:47.720,1389.7334,1716,-2,1575504000000,1.7722486,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-05 21:09:03.182,83ae6802-7fe2-4e9c-9e9a-3427a51ba53b.binning_data.json,83ae6802-7fe2-4e9c-9e9a-3427a51ba53b,60.76657,com.sec.android.app.shealth,
2019-12-11 23:00:01.159,119.56902,111,0,1576022400000,3.2502887,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-11 23:00:01.159,9308752f-6f97-4da5-b3f9-acc65ad523c5.binning_data.json,9308752f-6f97-4da5-b3f9-acc65ad523c5,7.8619566,com.sec.android.app.shealth,
2019-12-15 09:43:26.680,2151.7993,2604,-2,1576368000000,1.7632892,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-15 21:30:54.543,6b848c4a-a683-48f3-ad97-162047db78f0.binning_data.json,6b848c4a-a683-48f3-ad97-162047db78f0,100.20192,com.sec.android.app.shealth,
2019-12-08 09:12:52.062,1870.9512,2312,-2,1575763200000,1.6221879,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-08 20:01:43.698,5b4fb155-0ec9-4b73-bec0-3f117e80ec6b.binning_data.json,5b4fb155-0ec9-4b73-bec0-3f117e80ec6b,87.11792,com.sec.android.app.shealth,
2019-12-09 23:01:00.353,5459.43,6810,0,1575849600000,6.9444447,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-09 23:01:00.353,98898510-47e8-4196-8488-7e298ef8eb50.binning_data.json,98898510-47e8-4196-8488-7e298ef8eb50,249.0111,com.sec.android.app.shealth,
2019-12-15 23:01:47.178,6173.0024,7563,-2,1576454400000,1.6503441,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-16 21:56:26.784,35a2cf31-0e0f-4d28-8338-470fc797fd67.binning_data.json,35a2cf31-0e0f-4d28-8338-470fc797fd67,290.77988,com.sec.android.app.shealth,
2019-12-18 09:03:23.620,71.65137,78,-2,1576627200000,2.1097498,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-18 15:56:48.689,55ae6b7a-7cc0-480c-8053-4dc6ac118a9e.binning_data.json,55ae6b7a-7cc0-480c-8053-4dc6ac118a9e,3.945984,com.sec.android.app.shealth,
2019-12-14 23:00:03.933,845.85156,951,0,1576281600000,4.906786,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-14 23:00:03.933,104af76b-cc05-48fa-b517-164bc458c83a.binning_data.json,104af76b-cc05-48fa-b517-164bc458c83a,43.00714,com.sec.android.app.shealth,
2019-12-12 23:00:05.660,5766.1035,7123,0,1576108800000,5.2790093,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-12 23:00:05.660,c10ca5f9-320e-4aed-b7e7-b99e0a2954ca.binning_data.json,c10ca5f9-320e-4aed-b7e7-b99e0a2954ca,264.70523,com.sec.android.app.shealth,
2019-12-17 23:00:01.150,7695.765,9689,0,1576540800000,6.519669,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-17 23:00:01.150,6e179703-6f88-426a-acd0-3654aeffd28b.binning_data.json,6e179703-6f88-426a-acd0-3654aeffd28b,350.9803,com.sec.android.app.shealth,
