com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
8029,2,4,22,1629289653514,20.44629,UTC+0300,,24,1629289560000,2.5465496,yFuc3cHWzI,1629289500000,com.sec.android.app.shealth,1629289653514,9d09a838-708c-4aac-846c-cca4420aa63d,0.9442444,,
3896,0,4,8,1629290994344,6.3129883,UTC+0300,,8,1629291000000,1.6201293,yFuc3cHWzI,1629290940000,com.sec.android.app.shealth,1629290994619,70101a31-17ce-481b-a10a-6448a5eebd23,0.27816772,,
13205,0,4,33,1629290710619,27.425781,UTC+0300,,33,1629290760000,2.076878,yFuc3cHWzI,1629290700000,com.sec.android.app.shealth,1629290731208,3bfa11f0-d6d8-41ec-81b3-701af4bdfa3b,1.2380981,,
29520,6,4,46,1629289653589,44.141113,UTC+0300,,52,1629289680000,1.4952713,yFuc3cHWzI,1629289620000,com.sec.android.app.shealth,1629289716221,4c3db815-c8b3-4326-b3ce-95be4a398717,2.09964,,
7744,0,4,15,1629221839034,12.230469,UTC+0300,,15,1629221880000,1.5791988,yFuc3cHWzI,1629221820000,com.sec.android.app.shealth,1629221840168,d73268d5-7547-4c47-abee-231cfc6370a0,0.5286255,,
4413,0,4,8,1629361551743,6.0805664,UTC+0300,,8,1629361560000,1.3778493,yFuc3cHWzI,1629361500000,com.sec.android.app.shealth,1629361552419,af59e10c-c9cf-4828-a917-e4aea9ad80b1,0.28128052,,
14999,0,4,34,1629381924007,29.083496,UTC+0300,,34,1629381960000,1.9389257,yFuc3cHWzI,1629381900000,com.sec.android.app.shealth,1629381954252,015574ac-dd3a-4e87-ae3a-73a5c184ec5c,1.3169556,,
38567,0,4,91,1629302502230,73.958984,UTC+0300,,91,1629302520000,1.9176376,yFuc3cHWzI,1629302460000,com.sec.android.app.shealth,1629302517566,ce8058b5-79be-495f-8b88-7d4be787bf27,3.1802063,,
4380,3,4,12,1629392961821,14.489258,UTC+0300,,15,1629393000000,3.3073041,yFuc3cHWzI,1629392940000,com.sec.android.app.shealth,1629392962830,7e90f550-fb95-416e-901e-7de784ceefdd,0.73098755,,
8107,0,4,16,1629280304485,12.571777,UTC+0300,,16,1629280320000,1.5506029,yFuc3cHWzI,1629280260000,com.sec.android.app.shealth,1629280304485,cfbd2bb5-d39c-42eb-ace1-5a741b5fb842,0.5562744,,
9810,0,4,23,1629361470193,18.722168,UTC+0300,,23,1629361500000,1.9084632,yFuc3cHWzI,1629361440000,com.sec.android.app.shealth,1629361476578,8ea27b47-27c6-4699-a79c-67195e24ec74,0.78341675,,
22595,2,4,52,1629405390838,44.585938,UTC+0300,,54,1629405420000,1.9731879,yFuc3cHWzI,1629405360000,com.sec.android.app.shealth,1629405417341,3b45b758-60f3-48c0-9219-8467164f182a,1.9702454,,
2168,0,4,6,1629362976476,7.777832,UTC+0300,,6,1629363000000,3.5864525,yFuc3cHWzI,1629362940000,com.sec.android.app.shealth,1629362976476,1bc485f8-7a3f-4216-84f4-ab655d3436b6,0.51123047,,
3493,0,4,7,1629289427870,5.7666016,UTC+0300,,7,1629289440000,1.6507363,yFuc3cHWzI,1629289380000,com.sec.android.app.shealth,1629289427870,28e7b020-d544-4210-afcf-11f742603186,0.23358154,,
2581,0,4,6,1629450876354,4.932617,UTC+0300,,6,1629450900000,1.9105343,yFuc3cHWzI,1629450840000,com.sec.android.app.shealth,1629450876354,7d6636dc-ded2-4b5c-a1ca-8247e8fb156e,0.20788574,,
13544,0,4,27,1629451823890,21.08496,UTC+0300,,27,1629451860000,1.5567529,yFuc3cHWzI,1629451800000,com.sec.android.app.shealth,1629451835034,8338f339-8b80-47cf-8579-73287e89a1e1,0.9407959,,
3426,5,4,6,1629371256857,12.771484,UTC+0300,,11,1629371280000,3.7274444,yFuc3cHWzI,1629371220000,com.sec.android.app.shealth,1629371258103,f68255bc-703a-4878-9d7e-e938529cffe9,0.8204956,,
6833,0,4,13,1629452639443,9.870117,UTC+0300,,13,1629452640000,1.4442848,yFuc3cHWzI,1629452580000,com.sec.android.app.shealth,1629452639796,7f8e54ce-0c9c-45b2-9db6-2e28eeeb1ddb,0.45758057,,
15800,0,4,34,1629381967745,28.82373,UTC+0300,,34,1629382020000,1.8242644,yFuc3cHWzI,1629381960000,com.sec.android.app.shealth,1629381993608,261aee5f-9a17-4b37-bf6f-ad6fb34879e3,1.2126465,,
14286,14,4,24,1629290041045,36.058594,UTC+0300,,38,1629290100000,2.5240347,yFuc3cHWzI,1629290040000,com.sec.android.app.shealth,1629290066952,142386e0-1bce-457b-bd03-31d58a9e6acb,2.0050354,,
22367,0,4,44,1629193449116,34.378906,UTC+0300,,44,1629193500000,1.5369993,yFuc3cHWzI,1629193440000,com.sec.android.app.shealth,1629193499931,b64e9d18-2ae4-4458-b1b2-978fb6c08c4b,1.5430908,,
19413,0,4,36,1629205021636,27.816406,UTC+0300,,36,1629205080000,1.4328597,yFuc3cHWzI,1629205020000,com.sec.android.app.shealth,1629205042797,4d3322cc-4470-4f0b-8ef8-7c0cf8edf51c,1.2608032,,
19068,17,4,30,1629392836233,43.980957,UTC+0300,,47,1629392880000,2.3064752,yFuc3cHWzI,1629392820000,com.sec.android.app.shealth,1629392856212,929e3905-cb5e-4997-a54e-00abfe58ff39,2.5307312,,
10206,0,4,12,1629394081583,10.245117,UTC+0300,,12,1629394080000,1.0038073,yFuc3cHWzI,1629394020000,com.sec.android.app.shealth,1629394081583,f5bea3a2-aa5c-4ee6-83c4-cd4222cb3e08,0.4303894,,
15905,0,4,36,1629320965345,28.807129,UTC+0300,,36,1629321000000,1.8111966,yFuc3cHWzI,1629320940000,com.sec.android.app.shealth,1629320978024,d4fd23ca-5203-45b7-a29d-37670ba3d00c,1.2537842,,
15990,1,4,32,1629205652992,28.274414,UTC+0300,,33,1629205680000,1.7682295,yFuc3cHWzI,1629205620000,com.sec.android.app.shealth,1629205667341,afc5f5cb-123e-4d98-8aa4-05a87f69f03e,1.4124756,,
21845,2,4,50,1629405422146,45.55957,UTC+0300,,52,1629405480000,2.0855522,yFuc3cHWzI,1629405420000,com.sec.android.app.shealth,1629405463284,0162b848-6d5b-4b2c-83a4-7e49755d811a,2.1427612,,
19068,0,4,40,1629370512199,33.081543,UTC+0300,,40,1629370560000,1.7348675,yFuc3cHWzI,1629370500000,com.sec.android.app.shealth,1629370540084,955db555-035c-4048-a42a-44aec1fa4cea,1.5334167,,
47218,9,4,42,1629405304422,47.996582,UTC+0300,,51,1629405360000,1.0164852,yFuc3cHWzI,1629405300000,com.sec.android.app.shealth,1629405359546,219863d0-b9af-41ce-aceb-1dbaa99a4d65,2.750824,,
7391,0,4,12,1629212853929,9.270996,UTC+0300,,12,1629212880000,1.254202,yFuc3cHWzI,1629212820000,com.sec.android.app.shealth,1629212853929,9855b508-07ca-4719-b897-a8e89e404544,0.41744995,,
