com.samsung.shealth.rewards,6100041,4
is_visible,create_time,time_offset,program_id,end_time,device_type,title,exercise_type,exercise_session_id,deviceuuid,start_time,pkg_name,update_time,number_of_streak,datauuid,extra_data,controller_id,source_pkg_name
1,2019-12-04 15:35:01.998,UTC+0200,,2019-12-03 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-03 23:00:00.000,com.sec.android.app.shealth,2019-12-09 23:01:00.540,,08ad449f-3566-4f44-9186-8866af6e5829,"{""mTarget"":6000,""mValue"":8318}",tracker.pedometer,,
1,2019-12-16 15:15:00.402,UTC+0200,,2019-12-15 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-15 23:00:00.000,com.sec.android.app.shealth,2019-12-21 23:00:04.327,,6c72b135-e5c4-4ffc-87df-5a961888f72c,"{""mTarget"":6000,""mValue"":7563}",tracker.pedometer,,
0,2019-12-12 12:30:55.865,UTC+0200,,2019-12-12 12:30:55.828,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-12 12:30:55.828,com.sec.android.app.shealth,2019-12-13 19:18:28.904,,9ed10c79-2c34-49f4-b26a-31c308b42e2a,"{""mIsCompleted"":false,""mValue"":65,""mValue2"":60}",goal.activity,,
1,2019-12-09 17:42:01.393,UTC+0200,,2019-12-08 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-08 23:00:00.000,com.sec.android.app.shealth,2019-12-14 23:00:04.567,,9c6537a7-8496-438c-a84d-c6c491960cba,"{""mTarget"":6000,""mValue"":6810}",tracker.pedometer,,
1,2019-12-02 17:40:23.628,UTC+0200,,2019-12-01 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-01 23:00:00.000,com.sec.android.app.shealth,2019-12-07 23:00:01.479,,177c51f2-75d3-46bb-85f4-e94354847111,"{""mTarget"":6000,""mValue"":9130}",tracker.pedometer,,
1,2019-12-17 14:55:01.979,UTC+0200,,2019-12-16 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-16 23:00:00.000,com.sec.android.app.shealth,2019-12-22 23:00:04.270,,7f62269f-c298-494c-8aa9-a41be90b956d,"{""mTarget"":6000,""mValue"":9689}",tracker.pedometer,,
0,2019-12-16 15:15:00.505,UTC+0200,,2019-12-16 15:15:00.476,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-16 15:15:00.476,com.sec.android.app.shealth,2019-12-17 14:55:01.290,,aec615ad-3524-49b8-91b5-73710c0589a6,"{""mIsCompleted"":false,""mValue"":70,""mValue2"":60}",goal.activity,,
1,2019-12-20 16:55:30.504,UTC+0200,,2019-12-19 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-19 23:00:00.000,com.sec.android.app.shealth,2019-12-25 23:00:01.188,,150fb330-6600-4296-a15a-80214b5cf859,"{""mTarget"":6000,""mValue"":8622}",tracker.pedometer,,
1,2019-12-12 12:30:56.396,UTC+0200,,2019-12-11 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-11 23:00:00.000,com.sec.android.app.shealth,2019-12-17 23:00:01.397,,8b47a845-f5d6-47e0-b8ed-678a73db85bc,"{""mTarget"":6000,""mValue"":7123}",tracker.pedometer,,
0,2019-12-09 17:45:08.129,UTC+0200,,2019-12-09 17:45:08.094,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-09 17:45:08.094,com.sec.android.app.shealth,2019-12-12 12:30:55.861,,12f51011-205d-4c92-912b-d8f73743ba8c,"{""mIsCompleted"":false,""mValue"":60,""mValue2"":60}",goal.activity,,
