com.samsung.shealth.insight.hourly_accumulated_active_time,6100041,1
active_time_11,active_time_10,active_time_13,active_time_12,active_time_15,active_time_14,active_time_17,active_time_16,active_time_8,active_time_7,active_time_6,active_time_5,active_time_4,active_time_3,day_time,active_time_2,active_time_1,deviceuuid,update_time,datauuid,active_time_22,active_time_21,active_time_24,active_time_23,create_time,active_time_20,pkg_name,active_time_9,active_time_19,active_time_18
,,,,2069900,1341641,2444395,2394905,,,,,,,1575590400000,,,yFuc3cHWzI,2019-12-07 03:15:40.170,30e457e9-45d3-4868-9b30-910fb6877361,4236046,4078134,4387052,4318619,2019-12-07 03:15:40.170,3785152,com.sec.android.app.shealth,,2592731,2533773,
57760,57760,2155268,117916,2362138,2336661,2732068,2362138,,,,,,,1576195200000,,,yFuc3cHWzI,2019-12-14 06:57:55.468,b8127399-f3ac-4019-ae57-1155ffdf34cf,4105529,4027360,4105529,4105529,2019-12-14 06:57:55.468,3237434,com.sec.android.app.shealth,,2764480,2742473,
484755,,656540,484755,672281,672281,716303,672281,,,,,,,1578787200000,,,yFuc3cHWzI,2020-01-13 01:22:03.267,66e6a5e6-04fa-4c5f-9065-09914d345c71,981231,968558,981231,981231,2020-01-13 01:22:03.267,955885,com.sec.android.app.shealth,,839160,773130,
,,40020,,265595,258925,265595,265595,,,,,,,1578528000000,,,yFuc3cHWzI,2020-01-10 03:00:03.048,36c41997-33da-473b-b660-be3f1906ceb5,432209,432209,448617,438879,2020-01-10 03:00:03.048,432209,com.sec.android.app.shealth,,432209,278935,
52957,52957,220471,52957,822915,770889,1154083,1117399,,,,,,,1582848000000,,,yFuc3cHWzI,2020-02-29 03:42:08.108,63d5bfda-fbf6-4989-af5c-b6747aa61e4a,1966635,1842042,2005187,1966635,2020-02-29 03:42:08.108,1412205,com.sec.android.app.shealth,37216,1362180,1334166,
1972970,1972970,2742663,2194887,3126453,3126453,3204887,3195416,429337,,,,,,1576800000000,,,yFuc3cHWzI,2019-12-21 02:34:36.541,2ef09f02-9971-43df-b492-b508cdedcee3,4848113,4848113,4866122,4866122,2019-12-21 02:34:36.541,4828103,com.sec.android.app.shealth,1816101,4828103,3713429,
1568977,1543231,1746918,1730644,3486117,1921928,3491319,3491319,,,,,,,1574899200000,,,yFuc3cHWzI,2019-11-29 03:50:22.897,1738cc82-c604-4986-ac0d-a68a79e78fdb,3548543,3531201,3548543,3548543,2019-11-29 03:50:22.897,3531201,com.sec.android.app.shealth,,3527199,3491319,
497933,,979460,497933,979460,979460,1048160,1048160,,,,,,,1576368000000,,,yFuc3cHWzI,2019-12-16 03:27:19.151,0a588f68-cb6e-4487-9aa1-b9e9f334ab5a,1429374,1414701,1433376,1433376,2019-12-16 03:27:19.151,1196097,com.sec.android.app.shealth,,1129267,1129267,
517140,,1063870,742496,1063870,1063870,1093218,1063870,,,,,,,1576972800000,,,yFuc3cHWzI,2019-12-23 03:11:46.599,3c0fd9cb-587d-4c37-83aa-6e54bb77cceb,1164850,1164850,1174854,1164850,2019-12-23 03:11:46.599,1164850,com.sec.android.app.shealth,,1153511,1153511,
,,21477,,45489,21477,45489,45489,,,,,,,1577318400000,,,yFuc3cHWzI,2019-12-27 01:34:21.344,a69f15c7-af4a-4c9d-8df1-2f3ed6e043ef,733304,526594,1067378,949854,2019-12-27 01:34:21.344,526594,com.sec.android.app.shealth,,526594,233844,
222606,64693,542468,222606,599963,599963,615968,599963,,,,,,,1575158400000,,,yFuc3cHWzI,2019-12-02 06:31:51.266,3bb961d5-8268-4039-99fc-84968175bf5c,1064982,1064982,1073786,1064982,2019-12-02 06:31:51.266,1064982,com.sec.android.app.shealth,,908908,745764,
26413,,1531148,26413,2534726,2302671,2897511,2665856,,,,,,,1574380800000,,,yFuc3cHWzI,2019-11-23 06:23:08.900,f2bb4479-8f96-4bad-a592-9d919a30d372,4526114,4526114,4526114,4526114,2019-11-23 06:23:08.900,4471821,com.sec.android.app.shealth,,2897511,2897511,
,,64831,51491,125256,64831,2931573,1145255,,,,,,,1577404800000,,,yFuc3cHWzI,2019-12-28 01:22:12.352,0eb9924d-453d-4e67-a4b8-e1a76ebc805f,4151899,4151899,4406953,4172172,2019-12-28 01:22:12.352,4143895,com.sec.android.app.shealth,,4108412,3658441,
,,,,,,72831,72831,,,,,,,1574208000000,,,yFuc3cHWzI,2019-11-21 03:31:05.857,1e5791c2-04d3-4f41-af62-d98603553280,116853,116853,116853,116853,2019-11-21 03:31:05.857,101512,com.sec.android.app.shealth,,101512,101512,
