com.samsung.shealth.calories_burned.details,6100041,1
extra_data,version,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.day_time,com.samsung.shealth.calories_burned.deviceuuid
3d40056b-be40-4704-9e97-6818ec1f4dc6.extra_data.json,,0.0,4387052,com.sec.android.app.shealth,1577870376150,1575586800634,3d40056b-be40-4704-9e97-6818ec1f4dc6,1523.2072,310.60156,1575590400000,yFuc3cHWzI,
a4f0e1a1-4935-4525-967a-c3bb80e8c3ce.extra_data.json,,0.0,604146,com.sec.android.app.shealth,1577870376503,1576278000978,a4f0e1a1-4935-4525-967a-c3bb80e8c3ce,1593.4663,43.00714,1576281600000,yFuc3cHWzI,
c87faf83-65b3-4346-84e9-a4df076b43c5.extra_data.json,,0.0,4105529,com.sec.android.app.shealth,1577870376469,1576191604615,c87faf83-65b3-4346-84e9-a4df076b43c5,1528.4359,290.64597,1576195200000,yFuc3cHWzI,
6db5b863-78a6-4b3e-91c0-41747d043c30.extra_data.json,,0.0,5432501,com.sec.android.app.shealth,1577870376607,1576537202541,6db5b863-78a6-4b3e-91c0-41747d043c30,1503.7903,354.59232,1576540800000,yFuc3cHWzI,
cbab4d91-2111-4904-a85d-73985565af0f.extra_data.json,,0.0,3097222,com.sec.android.app.shealth,1574895601448,1574809201178,cbab4d91-2111-4904-a85d-73985565af0f,1552.6366,204.5386,1574812800000,yFuc3cHWzI,
a96f1621-9379-4fb8-aee2-4dfb2fb47e9c.extra_data.json,,0.0,4866123,com.sec.android.app.shealth,1577870376724,1576796400621,a96f1621-9379-4fb8-aee2-4dfb2fb47e9c,1514.3097,327.5879,1576800000000,yFuc3cHWzI,
62dcb7e3-d812-4d6c-af3f-c10ca36dd611.extra_data.json,,0.0,3979533,com.sec.android.app.shealth,1577870376426,1576105200463,62dcb7e3-d812-4d6c-af3f-c10ca36dd611,1530.776,266.2622,1576108800000,yFuc3cHWzI,
78d2ef29-9135-4129-a5e7-96381c4bd492.extra_data.json,,0.0,88176,com.sec.android.app.shealth,1577870376694,1576710001641,78d2ef29-9135-4129-a5e7-96381c4bd492,1603.0493,6.0076904,1576713600000,yFuc3cHWzI,
6a7fd37c-ee47-4403-ada9-38c3ba147141.extra_data.json,,0.0,1623115,com.sec.android.app.shealth,1577870376814,1577055602586,6a7fd37c-ee47-4403-ada9-38c3ba147141,1574.5413,119.786545,1577059200000,yFuc3cHWzI,
df9b15dd-50a9-4066-b71d-8cceed4376da.extra_data.json,,0.0,1067378,com.sec.android.app.shealth,1577870376922,1577314800879,df9b15dd-50a9-4066-b71d-8cceed4376da,1584.8628,72.45355,1577318400000,yFuc3cHWzI,
ca204358-4257-495a-a9e2-eb370ba80c6c.extra_data.json,,0.0,49890,com.sec.android.app.shealth,1577870376650,1576623600580,ca204358-4257-495a-a9e2-eb370ba80c6c,1603.7604,3.945984,1576627200000,yFuc3cHWzI,
c538bb72-af91-44ba-905b-19accb9aad04.extra_data.json,,0.0,5664676,com.sec.android.app.shealth,1577870376882,1577228401122,c538bb72-af91-44ba-905b-19accb9aad04,1499.4784,346.78867,1577232000000,yFuc3cHWzI,
e49b87f0-c9fb-4b7c-801b-257823f3b384.extra_data.json,,0.0,4046296,com.sec.android.app.shealth,1577870376991,1577574001847,e49b87f0-c9fb-4b7c-801b-257823f3b384,1529.536,249.34541,1577577600000,yFuc3cHWzI,
2c63402f-9373-44f4-b2a9-0ec382182310.extra_data.json,,0.0,2820637,com.sec.android.app.shealth,1575414001519,1575327601150,2c63402f-9373-44f4-b2a9-0ec382182310,1557.7916,204.04675,1575331200000,yFuc3cHWzI,
2259ed79-7924-4f1e-ae16-74fd0433f325.extra_data.json,,0.0,1423069,com.sec.android.app.shealth,1578178802406,1578092400526,2259ed79-7924-4f1e-ae16-74fd0433f325,1578.2566,97.15396,1578096000000,yFuc3cHWzI,
461127ef-4a41-476c-9ea1-42d91f5384e9.extra_data.json,,0.0,2719082,com.sec.android.app.shealth,1577870376845,1577142000303,461127ef-4a41-476c-9ea1-42d91f5384e9,1554.1862,163.52739,1577145600000,yFuc3cHWzI,
018f0015-b846-4c17-96c0-4dadd17e8224.extra_data.json,,0.0,300935,com.sec.android.app.shealth,1577919600560,1577833200532,018f0015-b846-4c17-96c0-4dadd17e8224,1599.0978,26.384777,1577836800000,yFuc3cHWzI,
06287b2b-fda0-4289-915a-2b38b8d3d4e0.extra_data.json,,0.0,591607,com.sec.android.app.shealth,1577833200821,1577746814594,06287b2b-fda0-4289-915a-2b38b8d3d4e0,1593.6992,42.37106,1577750400000,yFuc3cHWzI,
541b1af3-f32e-4fc9-8dd5-4d8bfbc0a483.extra_data.json,,0.0,58160,com.sec.android.app.shealth,1578697200732,1578610800974,541b1af3-f32e-4fc9-8dd5-4d8bfbc0a483,1603.6068,4.1935215,1578614400000,yFuc3cHWzI,
f31f150c-59ba-42d3-a66f-57dc3dbc9d54.extra_data.json,,0.0,1927717,com.sec.android.app.shealth,1577870377011,1577660400702,f31f150c-59ba-42d3-a66f-57dc3dbc9d54,1568.8839,123.95075,1577664000000,yFuc3cHWzI,
a7450a7e-3524-4879-846b-f15222ce50dd.extra_data.json,,0.0,3674246,com.sec.android.app.shealth,1577870376325,1575846000818,a7450a7e-3524-4879-846b-f15222ce50dd,1536.446,250.38878,1575849600000,yFuc3cHWzI,
e06c653a-6aa7-4bca-8e57-157e1cca1209.extra_data.json,,0.0,975111,com.sec.android.app.shealth,1578265201605,1578178802186,e06c653a-6aa7-4bca-8e57-157e1cca1209,1586.5764,58.262466,1578182400000,yFuc3cHWzI,
fdb502aa-2bee-4512-81ab-5745434b3c74.extra_data.json,,0.0,1483186,com.sec.android.app.shealth,1578351604522,1578265201332,fdb502aa-2bee-4512-81ab-5745434b3c74,1577.1401,115.09826,1578268800000,yFuc3cHWzI,
a1e25236-71e1-426c-b63b-560a805d69f8.extra_data.json,,0.0,2810519,com.sec.android.app.shealth,1578438000844,1578351604212,a1e25236-71e1-426c-b63b-560a805d69f8,1552.4878,204.50827,1578355200000,yFuc3cHWzI,
2a7c8a68-f9f6-45c8-9e49-bded4375773d.extra_data.json,,0.0,2918282,com.sec.android.app.shealth,1579215600871,1579129201404,2a7c8a68-f9f6-45c8-9e49-bded4375773d,1550.4865,292.58206,1579132800000,yFuc3cHWzI,
76062fce-53d3-40cd-9dbf-917687deb715.extra_data.json,,0.0,981231,com.sec.android.app.shealth,1578870002414,1578783600834,76062fce-53d3-40cd-9dbf-917687deb715,1586.4628,66.418106,1578787200000,yFuc3cHWzI,
3528cc3a-ad98-40a0-b06a-9323aa2107d4.extra_data.json,,0.0,1788950,com.sec.android.app.shealth,1578783600996,1578697200476,3528cc3a-ad98-40a0-b06a-9323aa2107d4,1571.4612,116.069115,1578700800000,yFuc3cHWzI,
a8c96213-135e-49e7-8f16-638e714fff1f.extra_data.json,,0.0,1433376,com.sec.android.app.shealth,1577870376541,1576364402647,a8c96213-135e-49e7-8f16-638e714fff1f,1578.0652,100.201904,1576368000000,yFuc3cHWzI,
3e8f98ed-636a-495d-a1e8-85fa0caca5bf.extra_data.json,,0.0,3876512,com.sec.android.app.shealth,1578956400969,1578870002179,3e8f98ed-636a-495d-a1e8-85fa0caca5bf,1532.6895,323.3511,1578873600000,yFuc3cHWzI,
22aa095c-1a70-47be-96ac-b4f384a70269.extra_data.json,,0.0,4093874,com.sec.android.app.shealth,1579734001967,1579647600513,22aa095c-1a70-47be-96ac-b4f384a70269,1528.6525,269.73578,1579651200000,yFuc3cHWzI,
e34d3765-a32e-4b2e-a82b-c1167a521955.extra_data.json,,0.0,2735478,com.sec.android.app.shealth,1579302001030,1579215600650,e34d3765-a32e-4b2e-a82b-c1167a521955,1553.8816,238.42575,1579219200000,yFuc3cHWzI,
573e5828-d3d1-47d5-8627-07a682fd4da9.extra_data.json,,0.0,4414802,com.sec.android.app.shealth,1577870376753,1576882800795,573e5828-d3d1-47d5-8627-07a682fd4da9,1522.6919,291.11017,1576886400000,yFuc3cHWzI,
4216b7f3-11d1-4135-b2c2-826b2b2a9951.extra_data.json,,0.0,3191953,com.sec.android.app.shealth,1579388400963,1579302000814,4216b7f3-11d1-4135-b2c2-826b2b2a9951,1545.4036,221.94687,1579305600000,yFuc3cHWzI,
8b10dcd5-cb50-43a2-a2b2-79ef7f9a580d.extra_data.json,,0.0,1322887,com.sec.android.app.shealth,1579474800876,1579388400765,8b10dcd5-cb50-43a2-a2b2-79ef7f9a580d,1580.1173,86.84281,1579392000000,yFuc3cHWzI,
41b9745e-08c8-4df8-a837-d2dc53d222d5.extra_data.json,,0.0,4500190,com.sec.android.app.shealth,1579906800936,1579820400489,41b9745e-08c8-4df8-a837-d2dc53d222d5,1521.106,353.17258,1579824000000,yFuc3cHWzI,
91cb5556-cbd8-4135-824d-a3cc98d28199.extra_data.json,,0.0,4320294,com.sec.android.app.shealth,1579820400735,1579734001375,91cb5556-cbd8-4135-824d-a3cc98d28199,1524.4471,272.45444,1579737600000,yFuc3cHWzI,
c0db63f6-bfb4-4621-9d83-4fe9ee97680a.extra_data.json,,0.0,3849344,com.sec.android.app.shealth,1580252401084,1580166000732,c0db63f6-bfb4-4621-9d83-4fe9ee97680a,1533.194,243.61385,1580169600000,yFuc3cHWzI,
b470288b-b7e5-4d01-a8d7-27ecaadbb541.extra_data.json,,0.0,4406954,com.sec.android.app.shealth,1577870376945,1577401200681,b470288b-b7e5-4d01-a8d7-27ecaadbb541,1522.8376,278.6092,1577404800000,yFuc3cHWzI,
f2d172ef-ab0b-4535-a2ba-693d8f687b44.extra_data.json,,0.0,5006308,com.sec.android.app.shealth,1579993200771,1579906800682,f2d172ef-ab0b-4535-a2ba-693d8f687b44,1511.706,348.8508,1579910400000,yFuc3cHWzI,
a70e8440-88c6-4b28-a08b-fb2d5de7dd96.extra_data.json,,0.0,4349414,com.sec.android.app.shealth,1580770800736,1580684400399,a70e8440-88c6-4b28-a08b-fb2d5de7dd96,1523.9062,278.8927,1580688000000,yFuc3cHWzI,
5d8611cf-0615-4f19-b965-3318d384ec82.extra_data.json,,0.0,4003394,com.sec.android.app.shealth,1580425200876,1580338802134,5d8611cf-0615-4f19-b965-3318d384ec82,1530.3329,254.45587,1580342400000,yFuc3cHWzI,
b9537751-d620-4507-b9e3-1bea394868be.extra_data.json,,0.0,4233319,com.sec.android.app.shealth,1580338802504,1580252400691,b9537751-d620-4507-b9e3-1bea394868be,1526.0625,268.8093,1580256000000,yFuc3cHWzI,
77dbe839-6f47-496a-8832-f0b909e064ce.extra_data.json,,0.0,0,com.sec.android.app.shealth,1574258497084,1574258497084,77dbe839-6f47-496a-8832-f0b909e064ce,1610.3641,0.0,1572220800000,yFuc3cHWzI,
14e0141b-f566-40ba-ba7f-88e0b02f4fcf.extra_data.json,,0.0,1472869,com.sec.android.app.shealth,1581289200598,1581202800596,14e0141b-f566-40ba-ba7f-88e0b02f4fcf,1577.3317,97.05841,1581206400000,yFuc3cHWzI,
c44d0f59-c8f0-4bf9-8f21-070ed237d156.extra_data.json,,0.0,260392,com.sec.android.app.shealth,1578006000896,1577919600395,c44d0f59-c8f0-4bf9-8f21-070ed237d156,1599.8507,16.567562,1577923200000,yFuc3cHWzI,
3664d832-6e0f-4264-b043-5cff3f5c61d1.extra_data.json,,0.0,4644921,com.sec.android.app.shealth,1580511603581,1580425200661,3664d832-6e0f-4264-b043-5cff3f5c61d1,1518.418,292.00043,1580428800000,yFuc3cHWzI,
7441b536-5c7c-45d1-9fae-e601f5a95c67.extra_data.json,,0.0,1729525,com.sec.android.app.shealth,1581807601894,1581721201610,7441b536-5c7c-45d1-9fae-e601f5a95c67,1572.5648,119.93602,1581724800000,yFuc3cHWzI,
a5874870-8a2d-4274-a5f0-28de1fdb8f06.extra_data.json,,0.0,0,com.sec.android.app.shealth,1574258497612,1574258497612,a5874870-8a2d-4274-a5f0-28de1fdb8f06,1610.3641,0.0,1572739200000,yFuc3cHWzI,
63d7cc19-27ae-4a96-8ff4-727632cf1944.extra_data.json,,0.0,5201338,com.sec.android.app.shealth,1580857200770,1580770810619,63d7cc19-27ae-4a96-8ff4-727632cf1944,1508.0837,328.82587,1580774400000,yFuc3cHWzI,
e327d79c-5407-4431-af12-badddfb5e72b.extra_data.json,,0.0,47357,com.sec.android.app.shealth,1578524402523,1578438000647,e327d79c-5407-4431-af12-badddfb5e72b,1603.8074,3.2625766,1578441600000,yFuc3cHWzI,
29ee73fc-f012-41eb-8aa5-e0f430f07e58.extra_data.json,,0.0,2610078,com.sec.android.app.shealth,1580943601178,1580857200512,29ee73fc-f012-41eb-8aa5-e0f430f07e58,1556.2106,166.52733,1580860800000,yFuc3cHWzI,
4441a68f-8984-4ac3-b4e4-d36eee5f9f06.extra_data.json,,0.0,5321516,com.sec.android.app.shealth,1581030001081,1580943600800,4441a68f-8984-4ac3-b4e4-d36eee5f9f06,1505.8517,336.9793,1580947200000,yFuc3cHWzI,
e633ff5b-3526-4ab0-a20e-cafcbda8a1cf.extra_data.json,,0.0,3696961,com.sec.android.app.shealth,1582326000853,1582239600542,e633ff5b-3526-4ab0-a20e-cafcbda8a1cf,1536.0242,263.20935,1582243200000,yFuc3cHWzI,
221e88ac-2816-445c-8525-4d7dcd524704.extra_data.json,,0.0,0,com.sec.android.app.shealth,1574258498009,1574258498009,221e88ac-2816-445c-8525-4d7dcd524704,1610.3641,0.0,1573257600000,yFuc3cHWzI,
c47bbefd-06ed-4859-b126-a959ba16aa26.extra_data.json,,0.0,2558968,com.sec.android.app.shealth,1582844400882,1582758000798,c47bbefd-06ed-4859-b126-a959ba16aa26,1557.1599,185.68872,1582761600000,yFuc3cHWzI,
3a7e3c39-a311-4a1f-a605-18ad5b42c8da.extra_data.json,,0.0,3766016,com.sec.android.app.shealth,1579042801072,1578956400772,3a7e3c39-a311-4a1f-a605-18ad5b42c8da,1534.7416,292.45343,1578960000000,yFuc3cHWzI,
896b0273-3110-460d-a464-5c3ed7edb921.extra_data.json,,0.0,3383096,com.sec.android.app.shealth,1581375647256,1581289200481,896b0273-3110-460d-a464-5c3ed7edb921,1541.8535,235.25623,1581292800000,yFuc3cHWzI,
1a078e99-0262-46c9-8808-1e5d79968904.extra_data.json,,0.0,0,com.sec.android.app.shealth,1574258498206,1574258498206,1a078e99-0262-46c9-8808-1e5d79968904,1610.3641,0.0,1573776000000,yFuc3cHWzI,
93dae1fc-b949-4ecb-8d78-25c2eaab03c8.extra_data.json,,0.0,3871488,com.sec.android.app.shealth,1581548400816,1581462000518,93dae1fc-b949-4ecb-8d78-25c2eaab03c8,1532.7827,272.9859,1581465600000,yFuc3cHWzI,
a89e5c00-165e-4f4b-9d81-77b788bb6fe4.extra_data.json,,0.0,4001686,com.sec.android.app.shealth,1583363129947,1583276400672,a89e5c00-165e-4f4b-9d81-77b788bb6fe4,1530.3645,287.01508,1583280000000,yFuc3cHWzI,
001ec855-62cc-401b-9b1e-d0bc739362dd.extra_data.json,,0.0,4526114,com.sec.android.app.shealth,1574463601950,1574377201567,001ec855-62cc-401b-9b1e-d0bc739362dd,1526.0043,317.69046,1574380800000,yFuc3cHWzI,
cb57d52e-6fa6-475e-ac13-6a5837654953.extra_data.json,,0.0,502020,com.sec.android.app.shealth,1579561200843,1579474800591,cb57d52e-6fa6-475e-ac13-6a5837654953,1595.3632,34.261463,1579478400000,yFuc3cHWzI,
b2816c82-1f79-4871-ac7e-69174490e25d.extra_data.json,,0.0,4295809,com.sec.android.app.shealth,1583881200928,1583797069638,b2816c82-1f79-4871-ac7e-69174490e25d,1524.902,287.433,1583798400000,yFuc3cHWzI,
ae0cab5b-71b3-40ad-9741-30ba0d4cac46.extra_data.json,,0.0,453225,com.sec.android.app.shealth,1581894000649,1581807601634,ae0cab5b-71b3-40ad-9741-30ba0d4cac46,1596.2693,31.126717,1581811200000,yFuc3cHWzI,
0b6f7a80-fd23-4597-b498-9e4b24a5b050.extra_data.json,,0.0,3548543,com.sec.android.app.shealth,1574982001134,1574895600944,0b6f7a80-fd23-4597-b498-9e4b24a5b050,1544.2246,258.7174,1574899200000,yFuc3cHWzI,
77c85490-befe-4540-9068-b8109c4ec080.extra_data.json,,0.0,110055,com.sec.android.app.shealth,1584399600866,1584313200712,77c85490-befe-4540-9068-b8109c4ec080,1602.643,6.576355,1584316800000,yFuc3cHWzI,
746f925c-5aa3-478d-8705-e500be464c98.extra_data.json,,0.0,3768525,com.sec.android.app.shealth,1582066800714,1581980400640,746f925c-5aa3-478d-8705-e500be464c98,1534.695,260.2318,1581984000000,yFuc3cHWzI,
f959abbc-cc64-46ed-bccb-c908fcaddef8.extra_data.json,,0.0,425515,com.sec.android.app.shealth,1580079602071,1579993200550,f959abbc-cc64-46ed-bccb-c908fcaddef8,1596.784,23.645813,1579996800000,yFuc3cHWzI,
e76634b1-826f-467a-a518-60bc527c6b69.extra_data.json,,0.0,237565,com.sec.android.app.shealth,1582412832496,1582326000679,e76634b1-826f-467a-a518-60bc527c6b69,1600.2747,21.26799,1582329600000,yFuc3cHWzI,
9b7a228a-4d8d-48a3-a1f2-afe59240cb16.extra_data.json,,0.0,0,com.sec.android.app.shealth,1584918000935,1584831600587,9b7a228a-4d8d-48a3-a1f2-afe59240cb16,1604.687,0.0,1584835200000,yFuc3cHWzI,
