id,create_time,distance,step_count,day_time,speed,active_time,update_time,walk_step_count,calorie,run_step_count,healthy_step
76,2019-11-25 08:20:02.315,8441.096,10106,1574640000000,1.7746062,4756601,2019-11-25 20:50:16.293,9319,402.4835,787,0
77,2020-01-28 23:00:02.479,5238.867,6524,1580169600000,6.212404,3284783,2020-01-28 23:00:02.479,6371,242.95154,153,0
78,2020-01-13 05:29:42.043,6054.047,6739,1578873600000,1.861775,3251760,2020-01-13 20:04:17.205,5064,323.35114,1675,0
79,2020-01-11 23:00:01.307,2446.023,2981,1578700800000,4.3379393,1517356,2020-01-11 23:00:01.307,2822,116.069115,159,0
80,2020-01-11 08:38:43.005,2446.023,2981,1578700800000,1.6119922,1517391,2020-01-11 19:34:34.796,2822,116.069115,159,0
81,2019-11-28 08:30:53.989,5542.3325,6753,1574899200000,1.7114766,3238333,2019-11-28 20:39:54.360,6501,256.6412,252,0
82,2020-01-14 23:00:01.829,5721.9956,6580,1578960000000,4.294691,2995522,2020-01-14 23:00:01.829,5413,292.45343,1167,0
83,2020-01-31 23:00:04.490,6196.338,7710,1580428800000,4.762573,3952196,2020-01-31 23:00:04.490,7421,290.351,289,0
84,2020-01-14 06:16:06.551,5721.9956,6580,1578960000000,1.9101378,2995593,2020-01-14 18:38:18.432,5413,292.45343,1167,0
85,2020-01-16 06:10:09.456,5219.134,5609,1579132800000,2.0876505,2500003,2020-01-16 19:54:31.314,3694,292.58206,1915,0
86,2020-01-17 23:00:01.627,4390.765,4834,1579219200000,4.8218446,2282295,2020-01-17 23:00:01.627,3544,238.42575,1290,0
87,2020-01-17 06:23:10.196,4390.765,4834,1579219200000,1.9237994,2282340,2020-01-17 18:47:35.887,3544,238.42575,1290,0
88,2020-02-03 23:00:01.236,5977.4346,7378,1580688000000,6.9444447,3694496,2020-02-03 23:00:01.236,7094,278.46716,284,0
89,2019-12-01 08:55:50.204,1441.2139,1686,1575158400000,1.6987475,848397,2019-12-01 22:08:38.386,1566,71.739365,120,0
90,2020-01-20 06:40:39.259,711.59454,859,1579478400000,1.7492554,406798,2020-01-20 20:25:51.600,803,34.26146,56,0
91,2020-01-20 23:00:01.501,711.59454,859,1579478400000,5.074962,406787,2020-01-20 23:00:01.501,803,34.26146,56,0
92,2020-01-19 09:25:25.244,1813.5538,2162,1579392000000,1.7716354,1023660,2020-01-19 18:39:42.961,2011,86.842804,151,0
93,2020-02-06 23:00:01.868,7133.3945,8866,1580947200000,3.8768907,4486348,2020-02-06 23:00:01.868,8564,332.79272,302,0
94,2020-01-23 07:08:05.071,5860.4175,7250,1579737600000,1.6090946,3642059,2020-01-23 21:50:26.611,7014,272.45447,236,0
95,2019-12-04 06:03:24.900,6889.4478,8318,1575417600000,1.7254964,3992733,2019-12-04 20:03:22.991,7823,325.7565,495,0
96,2020-02-09 23:00:01.022,2122.2236,2610,1581206400000,5.889271,1262174,2020-02-09 23:00:01.022,2557,97.0584,53,0
97,2020-01-26 08:49:28.343,518.5137,647,1579996800000,1.526526,339669,2020-01-26 19:28:17.610,642,23.645813,5,0
98,2020-02-12 23:00:01.476,5875.238,7137,1581465600000,6.9444447,3397218,2020-02-12 23:00:01.476,6901,270.7444,236,0
99,2020-01-23 23:00:01.530,5860.4175,7250,1579737600000,6.268754,3641985,2020-01-23 23:00:01.530,7014,272.45447,236,0
100,2020-01-22 07:09:57.581,5742.0435,7024,1579651200000,1.6957167,3386204,2020-01-22 18:07:23.665,6669,267.42908,355,0
101,2019-12-07 08:00:43.204,2085.4424,2373,1575676800000,1.8178219,1147220,2019-12-07 18:39:49.549,2148,104.27643,225,0
102,2020-01-26 23:00:00.949,518.5137,647,1579996800000,3.0603914,339659,2020-01-26 23:00:00.949,642,23.645813,5,0
103,2020-02-15 23:00:02.527,2479.5771,2905,1581724800000,4.613892,1367366,2020-02-15 23:00:02.527,2699,119.93603,206,0
104,2020-01-29 07:37:32.327,5728.942,7138,1580256000000,1.6085526,3561550,2020-01-29 23:00:04.375,6888,268.17123,250,0
105,2020-01-29 23:00:03.330,5728.942,7138,1580256000000,5.2862206,3561471,2020-01-29 23:00:03.330,6888,268.17123,250,0
106,2020-02-01 12:57:47.190,4279.719,5290,1580515200000,1.5587518,2745606,2020-02-01 22:23:27.915,5130,204.44644,160,0
107,2020-02-18 23:00:01.228,5698.4414,7064,1581984000000,6.561453,3416288,2020-02-18 23:00:01.228,6880,257.84592,184,0
108,2020-02-01 23:00:01.569,4279.719,5290,1580515200000,5.0554547,2745549,2020-02-01 23:00:01.569,5130,204.44644,160,0
109,2019-12-10 09:35:36.284,5207.152,6528,1575936000000,1.6151583,3223926,2019-12-10 17:50:54.649,6377,237.08458,151,0
110,2020-02-04 07:39:05.036,7063.125,8797,1580774400000,1.6064839,4396635,2020-02-04 18:26:51.177,8480,327.30658,317,0
111,2020-02-04 23:00:01.299,7063.125,8797,1580774400000,2.9904265,4396577,2020-02-04 23:00:01.299,8480,327.30658,317,0
112,2020-02-21 23:00:01.214,5609.4233,6860,1582243200000,6.076389,3246219,2020-02-21 23:00:01.214,6483,259.8292,377,0
113,2020-02-07 23:00:03.224,6013.3677,7514,1581033600000,6.9444447,3795851,2020-02-07 23:00:03.224,7345,274.87164,169,0
114,2020-02-07 07:48:03.005,6013.3677,7514,1581033600000,1.5841701,3795910,2020-02-07 17:30:16.294,7345,274.87164,169,0
115,2020-01-25 06:55:10.079,7202.1494,8575,1579910400000,1.7079531,4216830,2020-01-25 19:32:04.652,7906,348.8508,669,0
116,2019-12-13 08:18:56.714,6060.826,7260,1576195200000,1.7438377,3475567,2019-12-13 20:46:56.683,6733,288.86453,527,0
117,2020-02-10 23:00:47.845,5094.3774,6262,1581292800000,6.604631,3033693,2020-02-10 23:00:47.845,6062,233.03432,200,0
